ID, LOCATION, NAME, #C1, #C2, #C3, #C4
1,''-9.95056;-36.089'',''ST106-AL3'',1,1,0,1
67,''-9.89923;-36.1857'',''ST60-AL4'',2,0,1,1
68,''-9.89937;-36.2211'',''ST62-AL2'',1,0,0,1
69,''-9.90041;-36.2195'',''ST63-AL4'',0,2,0,2
70,''-9.90195;-36.2193'',''ST65-AL4'',2,0,2,0
71,''-9.90306;-36.128'',''ST68-AL5'',0,1,2,2
72,''-9.90406;-36.219'',''ST70-AL6'',0,2,2,2
73,''-9.94329;-36.1033'',''ST73-AL5'',2,0,1,2
74,''-9.94369;-36.0941'',''ST75-AL1'',0,0,0,1
75,''-9.94403;-36.0807'',''ST77-AL4'',0,2,2,0
76,''-9.94441;-36.1012'',''ST78-AL1'',0,0,1,0
77,''-9.94456;-36.1009'',''ST79-AL6'',0,2,2,2
78,''-9.94521;-36.0796'',''ST80-AL6'',2,2,0,2
79,''-9.94553;-36.1005'',''ST82-AL5'',2,1,0,2
80,''-9.94624;-36.0787'',''ST83-AL3'',0,0,2,1
81,''-9.94645;-36.0785'',''ST84-AL4'',1,2,0,1
82,''-9.94665;-36.0787'',''ST87-AL4'',0,2,2,0
83,''-9.94926;-36.0939'',''ST90-AL6'',1,2,1,2
84,''-9.94936;-36.0953'',''ST92-AL5'',2,1,1,1
85,''-9.94986;-36.0923'',''ST95-AL4'',1,0,1,2
86,''-9.95008;-36.0916'',''ST97-AL6'',1,2,2,1
87,''-9.95023;-36.0483'',''ST100-AL1'',1,0,0,0
88,''-9.95031;-36.0907'',''ST103-AL5'',1,1,1,2
89,''-9.95043;-36.0875'',''ST105-AL3'',0,2,0,1
90,''-9.95135;-36.0894'',''ST107-AL2'',0,1,1,0
91,''-9.95164;-36.0492'',''ST109-AL5'',2,1,1,1
92,''-9.95322;-36.0805'',''ST112-AL3'',1,0,1,1
93,''-9.95322;-36.0805'',''ST113-AL6'',2,1,1,2
94,''-9.95477;-36.0785'',''ST115-AL7'',2,2,2,1
95,''-9.95514;-36.0777'',''ST117-AL4'',0,2,1,1
96,''-9.95818;-36.0744'',''ST120-AL5'',0,1,2,2
97,''-9.96099;-36.0696'',''ST123-AL4'',2,1,0,1
98,''-9.9612;-36.0693'',''ST124-AL6'',1,2,2,1
99,''-9.96174;-36.0496'',''ST126-AL4'',2,1,1,0
100,''-9.96204;-36.0499'',''ST128-AL7'',2,2,1,2
